Classification Code,Start Range,End Range,Start Range Number,End Range Number,Group1,Group2,Group3,Group4,Group5
BL,BL216.001,BL216.999,216.001,216.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL217,BL217,217.0,217.0,Religions.  Mythology.  Rationalism,Natural theology,Polytheism,,
BL,BL217.001,BL217.999,217.001,217.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL218,BL218,218.0,218.0,Religions.  Mythology.  Rationalism,Natural theology,Dualism,,
BL,BL218.001,BL219.999,218.001,219.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL220,BL220,220.0,220.0,Religions.  Mythology.  Rationalism,Natural theology,Pantheism,,
BL,BL220.001,BL220.999,220.001,220.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL221,BL221,221.0,221.0,Religions.  Mythology.  Rationalism,Natural theology,Monotheism,,
BL,BL221.001,BL223.999,221.001,223.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL224,BL227,224.0,227.0,Religions.  Mythology.  Rationalism,Natural theology,Creation. Theory of the earth,,
BL,BL227.001,BL238.999,227.001,238.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL239,BL265,239.0,265.0,Religions.  Mythology.  Rationalism,Natural theology,Religion and science,,
BL,BL265.001,BL269.999,265.001,269.999,Religions.  Mythology.  Rationalism,Natural theology,,,
BL,BL270,BL270,270.0,270.0,Religions.  Mythology.  Rationalism,Unity and plurality,,,
BL,BL270.001,BL289.999,270.001,289.999,Religions.  Mythology.  Rationalism,,,,
BL,BL290,BL290,290.0,290.0,Religions.  Mythology.  Rationalism,The soul,,,
BL,BL290.001,BL299.999,290.001,299.999,Religions.  Mythology.  Rationalism,,,,
BL,BL300,BL325,300.0,325.0,Religions.  Mythology.  Rationalism,The myth. Comparative mythology,,,
BL,BL325.001,BL349.999,325.001,349.999,Religions.  Mythology.  Rationalism,,,,
BL,BL350,BL385,350.0,385.0,Religions.  Mythology.  Rationalism,Classification of religions,,,
BL,BL385.001,BL409.999,385.001,409.999,Religions.  Mythology.  Rationalism,,,,
BL,BL410,BL410,410.0,410.0,Religions.  Mythology.  Rationalism,Religions in relation to one another,,,
BL,BL410.001,BL424.999,410.001,424.999,Religions.  Mythology.  Rationalism,,,,
BL,BL425,BL429.999,425.0,429.999,Religions.  Mythology.  Rationalism,,,,
BL,BL430,BL430,430.0,430.0,Religions.  Mythology.  Rationalism,Religious doctrines (General),Origins of religion,,
