Code,Range Start,Range End,Normalized Subject,LJ Subject
H,1,99,Social Sciences--General (H),Social Sciences
HA,1,28.999,Statistics (HA),Social Sciences
HA,29,32,Statistics (HA),Social Sciences
HA,473.001,4737,Statistics (HA),Social Sciences
HB,1,70.999,Economics (HB-HC),Business & Economics
HB,71,74,Economics (HB-HC),Business & Economics
HB,75,130,Economics (HB-HC),Business & Economics
HB,131,134.999,Economics (HB-HC),Business & Economics
HB,135,147,Economics (HB-HC),Business & Economics
HB,147.001,200.999,Economics (HB-HC),Business & Economics
HB,522,534.999,Economics (HB-HC),Business & Economics
HB,615,715,Economics (HB-HC),Business & Economics
HB,801,843,Economics (HB-HC),Business & Economics
HB,846,846.8,Economics (HB-HC),Business & Economics
HB,848,3697,Economics (HB-HC),Business & Economics
HB,3711,3840,Economics (HB-HC),Business & Economics
HC,10,78.999,Economics (HB-HC),Business & Economics
HC,79,79,Economics (HB-HC),Business & Economics
HC,79.001,91.999,Economics (HB-HC),Business & Economics
HC,94,1085,Economics (HB-HC),Business & Economics
HD,1,27.999,"Business (HD-HG, TX)",Business & Economics
HD,28,38.999,"Business (HD-HG, TX)",Business & Economics
HD,39,40.7,"Business (HD-HG, TX)",Business & Economics
HD,41,41,"Business (HD-HG, TX)",Business & Economics
HD,41.001,44.999,"Business (HD-HG, TX)",Business & Economics
HD,45,45.2,"Business (HD-HG, TX)",Business & Economics
HD,47,47.4,"Business (HD-HG, TX)",Business & Economics
HD,49,49.5,"Business (HD-HG, TX)",Business & Economics
HD,50.501,55.999,"Business (HD-HG, TX)",Business & Economics
HD,56,57.5,"Business (HD-HG, TX)",Business & Economics
HD,57.501,57.999,"Business (HD-HG, TX)",Business & Economics
HD,58.7,58.95,"Business (HD-HG, TX)",Business & Economics
HD,59,59.6,"Business (HD-HG, TX)",Business & Economics
HD,60,60.5,"Business (HD-HG, TX)",Business & Economics
HD,61,61,"Business (HD-HG, TX)",Business & Economics
HD,62.001,62.199,"Business (HD-HG, TX)",Business & Economics
HD,62.2,62.8,"Business (HD-HG, TX)",Business & Economics
HD,66,66.2,"Business (HD-HG, TX)",Business & Economics
HD,69,69,"Business (HD-HG, TX)",Business & Economics
HD,69.001,70,"Business (HD-HG, TX)",Business & Economics
HD,72,88,"Business (HD-HG, TX)",Business & Economics
HD,101,1285.999,"Business (HD-HG, TX)",Business & Economics
HD,1361,1395.5,"Business (HD-HG, TX)",Business & Economics
HD,1401,1427.999,"Business (HD-HG, TX)",Business & Economics
HD,1501,1542,"Business (HD-HG, TX)",Business & Economics
HD,1635,1702,"Business (HD-HG, TX)",Business & Economics
HD,1741.001,2210,"Business (HD-HG, TX)",Business & Economics
HD,2321,2328.999,"Business (HD-HG, TX)",Business & Economics
HD,2340.8,2346.5,"Business (HD-HG, TX)",Business & Economics
HD,2709,2930.7,"Business (HD-HG, TX)",Business & Economics
HD,2951,3575,"Business (HD-HG, TX)",Business & Economics
HD,3611,4730.9,"Business (HD-HG, TX)",Business & Economics
HD,4801,4860.999,"Business (HD-HG, TX)",Business & Economics
HD,4895.001,4908.999,"Business (HD-HG, TX)",Business & Economics
HD,5481,5630.7,"Business (HD-HG, TX)",Business & Economics
HD,5650,5660,"Business (HD-HG, TX)",Business & Economics
HD,5701,6000.9,"Business (HD-HG, TX)",Business & Economics
HD,6050,6305,"Business (HD-HG, TX)",Business & Economics
HD,6305.001,6349.999,"Business (HD-HG, TX)",Business & Economics
HD,6350,6940.7,"Business (HD-HG, TX)",Business & Economics
HD,6951,6957,"Business (HD-HG, TX)",Business & Economics
HD,6958.5,6976,"Business (HD-HG, TX)",Business & Economics
HD,7088,7252,"Business (HD-HG, TX)",Business & Economics
HD,7255,7256,"Business (HD-HG, TX)",Business & Economics
HD,7260,7780.8,"Business (HD-HG, TX)",Business & Economics
HD,8045,8943,"Business (HD-HG, TX)",Business & Economics
HD,9000,9495,"Business (HD-HG, TX)",Business & Economics
HD,9502,9502.5,"Business (HD-HG, TX)",Business & Economics
HD,9506,9624,"Business (HD-HG, TX)",Business & Economics
HD,9650,9663,"Business (HD-HG, TX)",Business & Economics
HD,9665,9675,"Business (HD-HG, TX)",Business & Economics
HD,9680,9714,"Business (HD-HG, TX)",Business & Economics
HD,9715,9717.5,"Business (HD-HG, TX)",Business & Economics
HD,9717.501,9719.999,"Business (HD-HG, TX)",Business & Economics
HD,9720,9975,"Business (HD-HG, TX)",Business & Economics
HD,9975.001,9998.999,"Business (HD-HG, TX)",Business & Economics
HD,9999,9999,"Business (HD-HG, TX)",Business & Economics
HE,1,198.999,"Business (HD-HG, TX)",Business & Economics
HE,199.901,304.999,"Business (HD-HG, TX)",Business & Economics
HE,305,311,"Business (HD-HG, TX)",Business & Economics
HE,331,368.999,"Business (HD-HG, TX)",Business & Economics
HE,561,729.999,"Business (HD-HG, TX)",Business & Economics
HE,5601,5725,"Business (HD-HG, TX)",Business & Economics
HE,7601,8659.999,"Business (HD-HG, TX)",Business & Economics
HE,8689,8700.9,"Business (HD-HG, TX)",Business & Economics
HE,9761,9900,"Business (HD-HG, TX)",Business & Economics
HF,1,293.999,"Business (HD-HG, TX)",Business & Economics
HF,343.001,1013.999,"Business (HD-HG, TX)",Business & Economics
HF,1021,1027,"Business (HD-HG, TX)",Business & Economics
HF,1040,1054,"Business (HD-HG, TX)",Business & Economics
HF,1054.001,1700.999,"Business (HD-HG, TX)",Business & Economics
HF,3000,4055,"Business (HD-HG, TX)",Business & Economics
HF,5001,5380.999,"Business (HD-HG, TX)",Business & Economics
